"","thr","method","basemethod","meas","fullmethod","splitval","NBR","TP","FP","TN","FN","TOT_CALLED","DIFF","NONDIFF","TPR","FDR","satis","method.satis"
"144",0.048,"scp","scp","__padj","scp_overall","overall",821,735,86,6879,12,7712,747,6965,0.983935742971888,0.104750304506699,"no","scp_overallno"
"145",0.049,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",934,732,202,6619,5,7558,747,6965,0.979919678714859,0.21627408993576,"no","msqrob2_overallno"
"146",0.049,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",756,724,32,6789,13,7558,747,6965,0.969210174029451,0.0423280423280423,"yes","pseudobulk_overallyes"
"147",0.049,"scp","scp","__padj","scp_overall","overall",822,735,87,6878,12,7712,747,6965,0.983935742971888,0.105839416058394,"no","scp_overallno"
"148",0.05,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",938,732,206,6615,5,7558,747,6965,0.979919678714859,0.219616204690832,"no","msqrob2_overallno"
"149",0.05,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",758,724,34,6787,13,7558,747,6965,0.969210174029451,0.0448548812664908,"yes","pseudobulk_overallyes"
"150",0.05,"scp","scp","__padj","scp_overall","overall",825,735,90,6875,12,7712,747,6965,0.983935742971888,0.109090909090909,"no","scp_overallno"
"151",0.051,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",939,732,207,6614,5,7558,747,6965,0.979919678714859,0.220447284345048,"no","msqrob2_overallno"
"152",0.051,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",758,724,34,6787,13,7558,747,6965,0.969210174029451,0.0448548812664908,"yes","pseudobulk_overallyes"
"153",0.051,"scp","scp","__padj","scp_overall","overall",827,735,92,6873,12,7712,747,6965,0.983935742971888,0.111245465538089,"no","scp_overallno"
"154",0.052,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",944,732,212,6609,5,7558,747,6965,0.979919678714859,0.224576271186441,"no","msqrob2_overallno"
"155",0.052,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",760,724,36,6785,13,7558,747,6965,0.969210174029451,0.0473684210526316,"yes","pseudobulk_overallyes"
